iter	Logloss
277	0.5235981371
278	0.5230656884
279	0.5225891336
280	0.5219980418
281	0.5216342351
282	0.5210349551
283	0.5206097209
284	0.520193003
285	0.5198124202
286	0.5193725195
287	0.518961645
288	0.5185958859
289	0.518282058
290	0.5179505381
291	0.5173629342
292	0.5169076496
293	0.5165341909
294	0.5162075481
295	0.5155853494
296	0.5152024601
297	0.5147975908
298	0.5141545739
299	0.513761915
300	0.5131727328
301	0.5127992405
302	0.5122336074
303	0.5118056912
304	0.511388204
305	0.5110167587
306	0.5105825457
307	0.5102117248
308	0.5098319662
309	0.5094415085
310	0.5090513882
311	0.5085628688
312	0.5081929363
313	0.5074764113
314	0.5071038868
315	0.5067663769
316	0.5064120039
317	0.5060386673
318	0.5056705391
319	0.5053148487
320	0.5049810696
321	0.5046709724
322	0.5043013482
323	0.5039291306
324	0.5035123455
325	0.5031763239
326	0.502806712
327	0.5024713102
328	0.5020738841
329	0.5017134265
330	0.5013699953
331	0.5009873578
332	0.500608906
333	0.5002333682
334	0.4999219796
335	0.499624682
336	0.4992706784
337	0.4989359895
338	0.4985849809
339	0.4981251106
340	0.4978236961
341	0.4972659856
342	0.4967136253
343	0.4964050104
344	0.4960125301
345	0.4954757874
346	0.4950464668
347	0.4947150399
348	0.4943992535
349	0.4941300235
350	0.4938074427
351	0.49345617
352	0.4930494949
